tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,target,features
tt10600902,movie,Women Behind the Wheel,Women Behind the Wheel,0,2022,\N,96.0,Documentary,7.4,50,0,"[50.0,0.0,2022.0,96.0]"
tt10646310,movie,Wings Over Water,Wings Over Water,0,2022,\N,45.0,Documentary,8.4,50,1,"[50.0,0.0,2022.0,45.0]"
tt10653008,movie,Tarrac,Tarrac,0,2022,\N,96.0,Drama,7.3,79,0,"[79.0,0.0,2022.0,96.0]"
tt10674504,movie,Field of Blood,Campo de Sangue,0,2022,\N,87.0,Drama,4.7,57,0,"[57.0,0.0,2022.0,87.0]"
tt10687016,movie,Asbury Park,Asbury Park,0,2021,\N,117.0,Drama,5.8,82,0,"[82.0,0.0,2021.0,117.0]"
tt10689780,movie,Totem,Totem,0,2021,\N,72.0,Comedy,5.3,74,0,"[74.0,0.0,2021.0,72.0]"
tt10697680,movie,The Human Solution,The Human Solution,0,2021,\N,100.0,Drama,7.2,58,0,"[58.0,0.0,2021.0,100.0]"
tt10703554,movie,The Book of Harth,The Book of Harth,0,2022,\N,62.0,Documentary,9.6,58,1,"[58.0,0.0,2022.0,62.0]"
tt10768264,movie,The Horizon,L'horizon,0,2021,\N,85.0,Drama,5.9,81,0,"[81.0,0.0,2021.0,85.0]"
tt10788416,movie,The Rain Bride,The Rain Bride,0,2022,\N,97.0,Drama,6.0,76,0,"[76.0,0.0,2022.0,97.0]"
tt10845302,movie,Guththila,Guththila,0,2023,\N,92.27826086956522,Drama,8.1,76,1,"[76.0,0.0,2023.0,92.27826086956522]"
tt10883194,movie,Cornered,Cornered,0,2021,\N,86.0,Drama,6.2,65,0,"[65.0,0.0,2021.0,86.0]"
tt10889948,movie,You Are Not a Soldier,You Are Not a Soldier,0,2021,\N,110.0,Documentary,7.9,61,1,"[61.0,0.0,2021.0,110.0]"
tt10892194,movie,Surprise Trip,Surprise Trip,0,2022,\N,97.0,Comedy,4.4,89,0,"[89.0,0.0,2022.0,97.0]"
tt10916568,movie,Siblings,Sisarukset,0,2023,\N,122.0,Drama,5.8,82,0,"[82.0,0.0,2023.0,122.0]"
tt10920562,movie,Under Spanish Skies,Under Spanish Skies,0,2022,\N,89.0,Drama,7.6,74,1,"[74.0,0.0,2022.0,89.0]"
tt10938882,movie,Love Doll,Love Doll,0,2022,\N,92.27826086956522,Comedy,7.7,59,1,"[59.0,0.0,2022.0,92.27826086956522]"
tt1099209,movie,Silent Life: The Story of the Lady in Black,Silent Life: The Story of the Lady in Black,0,2023,\N,80.0,Drama,6.2,66,0,"[66.0,0.0,2023.0,80.0]"
tt11009646,movie,Isthmus,Isthmus,0,2021,\N,74.0,Drama,6.1,71,0,"[71.0,0.0,2021.0,74.0]"
tt11011206,movie,Suffocated,Suffocated,0,2022,\N,78.0,Drama,3.7,68,0,"[68.0,0.0,2022.0,78.0]"
tt11082146,movie,Dante's Heaven,Dante's Heaven,0,2021,\N,112.0,Drama,6.7,63,0,"[63.0,0.0,2021.0,112.0]"
tt11090276,movie,He's Dead & So Am I,He's Dead & So Am I,0,2023,\N,86.0,Comedy,5.9,73,0,"[73.0,0.0,2023.0,86.0]"
tt11106034,movie,Knitting,O Novelo,0,2021,\N,95.0,Drama,7.0,76,0,"[76.0,0.0,2021.0,95.0]"
tt11162180,movie,Un-resolved,Un-resolved,0,2022,\N,167.0,Drama,8.3,76,1,"[76.0,0.0,2022.0,167.0]"
tt11179000,movie,A Mother's Touch,A Mother's Touch,0,2022,\N,92.27826086956522,Drama,7.6,60,1,"[60.0,0.0,2022.0,92.27826086956522]"
tt11214950,movie,Il cacio con le pere,Il cacio con le pere,0,2023,\N,92.27826086956522,Comedy,5.9,70,0,"[70.0,0.0,2023.0,92.27826086956522]"
tt11279448,movie,The Blonde Experiment,The Blonde Experiment,0,2022,\N,85.0,Comedy,7.1,53,0,"[53.0,0.0,2022.0,85.0]"
tt11294544,movie,Lo invisible,Lo invisible,0,2021,\N,83.0,Drama,6.1,85,0,"[85.0,0.0,2021.0,83.0]"
tt11300696,movie,Mister Sister,Mister Sister,0,2021,\N,108.0,Comedy,7.3,57,0,"[57.0,0.0,2021.0,108.0]"
tt11318086,movie,The Fall of the Queens,Cómo mueren las reinas,0,2021,\N,83.0,Drama,5.4,67,0,"[67.0,0.0,2021.0,83.0]"
tt11328126,movie,Memoirs of a Black Girl,Memoirs of a Snitch,0,2021,\N,76.0,Drama,5.1,72,0,"[72.0,0.0,2021.0,76.0]"
tt11337654,movie,Estación catorce,Estación catorce,0,2021,\N,87.0,Drama,6.8,65,0,"[65.0,0.0,2021.0,87.0]"
tt11348498,movie,A Wolfpack Called Ernesto,Una jauría llamada Ernesto,0,2023,\N,81.0,Documentary,7.1,63,0,"[63.0,0.0,2023.0,81.0]"
tt11350286,movie,Khökhö,Khökhö,0,2021,\N,124.0,Drama,9.2,85,1,"[85.0,0.0,2021.0,124.0]"
tt11368534,movie,Junho,Junho,0,2021,\N,104.0,Drama,9.4,52,1,"[52.0,0.0,2021.0,104.0]"
tt11379380,tvMovie,Going to Pot: The High & Low of It,Going to Pot: The High & Low of It,0,2021,\N,72.0,Documentary,6.3,82,0,"[82.0,0.0,2021.0,72.0]"
tt11419488,movie,Sharaf,Sharaf,0,2021,\N,95.0,Drama,6.9,70,0,"[70.0,0.0,2021.0,95.0]"
tt11432534,movie,Joke Man,Joke Man,0,2023,\N,92.27826086956522,Documentary,6.6,64,0,"[64.0,0.0,2023.0,92.27826086956522]"
tt11460290,movie,Patria,Pátria,0,2023,\N,81.0,Drama,4.8,70,0,"[70.0,0.0,2023.0,81.0]"
tt11469884,movie,Palazzo Di Cozzo,Palazzo Di Cozzo,0,2021,\N,86.0,Documentary,7.0,76,0,"[76.0,0.0,2021.0,86.0]"
tt11496160,movie,Rekindling,Rekindling,0,2022,\N,89.0,Drama,8.9,55,1,"[55.0,0.0,2022.0,89.0]"
tt11533464,movie,The Right Girls,The Right Girls,0,2021,\N,84.0,Documentary,5.1,63,0,"[63.0,0.0,2021.0,84.0]"
tt11611416,movie,The Last Temptation of the Belgians,La dernière tentation des Belges,0,2021,\N,76.0,Comedy,6.0,57,0,"[57.0,0.0,2021.0,76.0]"
tt11633840,movie,Bottle Conditioned,Bottle Conditioned,0,2023,\N,82.0,Documentary,9.0,57,1,"[57.0,0.0,2023.0,82.0]"
tt11639966,movie,Peace in the Valley,Peace in the Valley,0,2022,\N,88.0,Drama,6.3,87,0,"[87.0,0.0,2022.0,88.0]"
tt11654554,movie,The Fragile King,The Fragile King,0,2022,\N,90.0,Drama,6.2,57,0,"[57.0,0.0,2022.0,90.0]"
tt11660572,movie,Bridges,Bridges,0,2021,\N,81.0,Drama,4.5,53,0,"[53.0,0.0,2021.0,81.0]"
tt11682642,movie,Sparkling: The Story of Champagne,Sparkling: The Story of Champagne,0,2021,\N,88.0,Documentary,5.7,53,0,"[53.0,0.0,2021.0,88.0]"
tt11690150,movie,Hood River,Hood River,0,2021,\N,81.0,Documentary,6.6,55,0,"[55.0,0.0,2021.0,81.0]"
tt11691034,movie,Surviving Sex Trafficking,Surviving Sex Trafficking,0,2021,\N,70.0,Documentary,7.2,72,0,"[72.0,0.0,2021.0,70.0]"
tt11694776,movie,Los Dias Que No Estuve,Los Dias Que No Estuve,0,2021,\N,94.0,Drama,6.4,60,0,"[60.0,0.0,2021.0,94.0]"
tt11703882,movie,A Long Break,Didi shesveneba,0,2022,\N,110.0,Drama,6.7,78,0,"[78.0,0.0,2022.0,110.0]"
tt11718596,movie,The Covenant,The Covenant,0,2023,\N,95.0,Drama,7.1,70,0,"[70.0,0.0,2023.0,95.0]"
tt11720140,movie,Teri Meri Gal Ban Gayi,Teri Meri Gal Ban Gayi,0,2022,\N,144.0,Drama,6.6,82,0,"[82.0,0.0,2022.0,144.0]"
tt11737778,movie,Anbulla Ghilli,Anbulla Ghilli,0,2022,\N,92.27826086956522,Comedy,7.1,58,0,"[58.0,0.0,2022.0,92.27826086956522]"
tt11777570,movie,Deadlock,Zastoj,0,2021,\N,87.0,Drama,6.7,68,0,"[68.0,0.0,2021.0,87.0]"
tt11782684,movie,Convalescent,Convaleciente,0,2021,\N,108.0,Drama,8.7,72,1,"[72.0,0.0,2021.0,108.0]"
tt11783360,movie,Inès,Inès,0,2021,\N,89.0,Drama,4.7,50,0,"[50.0,0.0,2021.0,89.0]"
tt11827790,movie,Beyond Ed Buck,Beyond Ed Buck,0,2022,\N,92.27826086956522,Documentary,5.6,61,0,"[61.0,0.0,2022.0,92.27826086956522]"
tt11834562,movie,"Labordeta, un hombre sin más","Labordeta, un hombre sin más",0,2022,\N,93.0,Documentary,7.7,61,1,"[61.0,0.0,2022.0,93.0]"
tt11834966,movie,And You Call Yourself a Christian,And You Call Yourself a Christian,0,2022,\N,108.0,Drama,5.2,72,0,"[72.0,0.0,2022.0,108.0]"
tt11854326,movie,Ero in guerra ma non lo sapevo,Ero in guerra ma non lo sapevo,0,2022,\N,93.0,Drama,6.2,85,0,"[85.0,0.0,2022.0,93.0]"
tt11876478,movie,How to Be a Classy Tramp,Hvernig á að vera Klassa Drusla,0,2021,\N,87.0,Comedy,6.9,58,0,"[58.0,0.0,2021.0,87.0]"
tt11921820,movie,Die Grenze,Die Grenze,0,2021,\N,109.0,Drama,6.3,74,0,"[74.0,0.0,2021.0,109.0]"
tt11924374,movie,Shadow,Shadow,0,2021,\N,117.0,Drama,5.7,82,0,"[82.0,0.0,2021.0,117.0]"
tt11939664,movie,Alegría,Alegría,0,2021,\N,105.0,Drama,5.8,57,0,"[57.0,0.0,2021.0,105.0]"
tt11973834,movie,The Art of Incarceration,The Art of Incarceration,0,2021,\N,81.0,Documentary,7.6,61,1,"[61.0,0.0,2021.0,81.0]"
tt11983366,movie,A Tale of Filipino Violence,Isang salaysay ng karahasang Pilipino,0,2022,\N,409.0,Drama,5.1,73,0,"[73.0,0.0,2022.0,409.0]"
tt12036106,movie,Birth of Planet Earth,Birth of Planet Earth,0,2023,\N,50.0,Documentary,6.9,61,0,"[61.0,0.0,2023.0,50.0]"
tt12036676,movie,In Her Name,In Her Name,0,2022,\N,100.0,Drama,7.6,68,1,"[68.0,0.0,2022.0,100.0]"
tt12059228,movie,No Trace,Nulle trace,0,2021,\N,105.0,Drama,6.1,58,0,"[58.0,0.0,2021.0,105.0]"
tt12116082,movie,A Place in the Field,A Place in the Field,0,2022,\N,84.0,Drama,7.0,54,0,"[54.0,0.0,2022.0,84.0]"
tt12158846,movie,Una casa sin cortinas,Una casa sin cortinas,0,2021,\N,92.0,Documentary,7.0,73,0,"[73.0,0.0,2021.0,92.0]"
tt12163034,movie,Killing Kelly,Killing Kelly,0,2021,\N,65.0,Documentary,7.9,75,1,"[75.0,0.0,2021.0,65.0]"
tt12214676,movie,Between the Rains,Between the Rains,0,2023,\N,82.0,Documentary,6.9,74,0,"[74.0,0.0,2023.0,82.0]"
tt12250634,movie,Borrelia Borealis,Borrelia Borealis,0,2021,\N,93.0,Drama,5.8,66,0,"[66.0,0.0,2021.0,93.0]"
tt12304698,movie,Beautiful Helen,Beautiful Helen,0,2022,\N,92.0,Drama,5.6,52,0,"[52.0,0.0,2022.0,92.0]"
tt12307270,movie,Animal/Humano,Animal/Humano,0,2023,\N,92.0,Drama,6.6,51,0,"[51.0,0.0,2023.0,92.0]"
tt12345940,movie,Femi,Femi,0,2022,\N,84.0,Drama,6.0,55,0,"[55.0,0.0,2022.0,84.0]"
tt12362542,movie,God & Salsa,God & Salsa,0,2022,\N,92.27826086956522,Drama,7.0,59,0,"[59.0,0.0,2022.0,92.27826086956522]"
tt12370388,movie,Stamps Back,Stamps Back,0,2022,\N,92.27826086956522,Documentary,9.4,61,1,"[61.0,0.0,2022.0,92.27826086956522]"
tt12386022,movie,Afterwater,Afterwater,0,2022,\N,93.0,Drama,5.2,70,0,"[70.0,0.0,2022.0,93.0]"
tt12401140,movie,Gunned Down,Gunned Down,0,2021,\N,94.0,Drama,4.2,55,0,"[55.0,0.0,2021.0,94.0]"
tt12405432,movie,Imagining the Indian,Imagining the Indian,0,2022,\N,95.0,Documentary,3.3,74,0,"[74.0,0.0,2022.0,95.0]"
tt12422964,tvMovie,Sportabzeichen für Anfänger,Sportabzeichen für Anfänger,0,2021,\N,89.0,Comedy,5.1,78,0,"[78.0,0.0,2021.0,89.0]"
tt12463774,movie,Doug and the Slugs & Me,Doug and the Slugs & Me,0,2022,\N,88.0,Documentary,7.7,62,1,"[62.0,0.0,2022.0,88.0]"
tt12473772,movie,Stale Popcorn and Sticky Floors,Stale Popcorn and Sticky Floors,0,2023,\N,90.0,Documentary,5.5,85,0,"[85.0,0.0,2023.0,90.0]"
tt12478372,movie,Devdas Brothers,Devdas Brothers,0,2021,\N,99.0,Drama,3.2,63,0,"[63.0,0.0,2021.0,99.0]"
tt12483148,movie,The High Frontier: The Untold Story of Gerard K. O'Neill,The High Frontier: The Untold Story of Gerard K. O'Neill,0,2021,\N,88.0,Documentary,7.5,71,0,"[71.0,0.0,2021.0,88.0]"
tt12508088,tvMovie,Das Versprechen,Das Versprechen,0,2021,\N,89.0,Drama,6.6,52,0,"[52.0,0.0,2021.0,89.0]"
tt12526660,movie,Defend Your Name,Garder ton nom,0,2023,\N,97.0,Drama,6.3,68,0,"[68.0,0.0,2023.0,97.0]"
tt12547798,movie,Cut,Corte,0,2023,\N,74.0,Drama,4.1,51,0,"[51.0,0.0,2023.0,74.0]"
tt12575978,movie,Match Struck,Match Struck,0,2023,\N,92.27826086956522,Drama,4.7,64,0,"[64.0,0.0,2023.0,92.27826086956522]"
tt12608168,movie,You Married Dat,You Married Dat,0,2022,\N,114.0,Comedy,8.6,64,1,"[64.0,0.0,2022.0,114.0]"
tt12617484,movie,Wuhan Wuhan,Wuhan Wuhan,0,2021,\N,90.0,Documentary,6.9,88,0,"[88.0,0.0,2021.0,90.0]"
tt12625936,movie,Whispers of War,Stille Post,0,2021,\N,95.0,Drama,6.6,65,0,"[65.0,0.0,2021.0,95.0]"
tt12630014,movie,Busco novia,Busco novia,0,2021,\N,84.0,Comedy,4.9,71,0,"[71.0,0.0,2021.0,84.0]"
tt12684838,movie,Naufragi,Naufragi,0,2021,\N,100.0,Drama,6.3,71,0,"[71.0,0.0,2021.0,100.0]"
tt12698500,movie,At the End of Evin,At the End of Evin,0,2021,\N,78.0,Drama,6.6,52,0,"[52.0,0.0,2021.0,78.0]"
tt12708250,movie,Brand Bollywood,Brand Bollywood,0,2023,\N,93.0,Documentary,9.1,53,1,"[53.0,0.0,2023.0,93.0]"
tt12741730,movie,Karona,Karona,0,2021,\N,92.27826086956522,Comedy,7.0,66,0,"[66.0,0.0,2021.0,92.27826086956522]"
tt12741924,movie,For the Love of Catch,For the Love of Catch,0,2022,\N,92.27826086956522,Documentary,8.4,56,1,"[56.0,0.0,2022.0,92.27826086956522]"
tt12745024,movie,A Perfect Day for Caribou,A Perfect Day for Caribou,0,2022,\N,95.0,Drama,7.3,75,0,"[75.0,0.0,2022.0,95.0]"
tt12762788,movie,Box of Rain,Box of Rain,0,2022,\N,78.0,Documentary,8.1,58,1,"[58.0,0.0,2022.0,78.0]"
tt12794950,movie,Mise au vert,Mise au vert,0,2022,\N,94.0,Comedy,5.0,88,0,"[88.0,0.0,2022.0,94.0]"
tt12805870,movie,Rhino Express,Rhino Express,0,2022,\N,129.0,Comedy,8.4,55,1,"[55.0,0.0,2022.0,129.0]"
tt12856188,movie,Carter Family Reunion,The Carters Family Reunion,0,2021,\N,80.0,Comedy,3.2,71,0,"[71.0,0.0,2021.0,80.0]"
tt12866158,movie,Erzurumlu Mümessil,Erzurumlu Mümessil,0,2022,\N,121.0,Comedy,6.5,74,0,"[74.0,0.0,2022.0,121.0]"
tt12868504,tvMovie,Man kann nicht alles haben,Man kann nicht alles haben,0,2021,\N,92.27826086956522,Comedy,5.4,65,0,"[65.0,0.0,2021.0,92.27826086956522]"
tt12881560,movie,Na tebe soshyolsya klinom belyy svet,Na tebe soshyolsya klinom belyy svet,0,2022,\N,91.0,Drama,5.0,58,0,"[58.0,0.0,2022.0,91.0]"
tt12923754,movie,Retreat,Réduit,0,2022,\N,82.0,Drama,6.5,57,0,"[57.0,0.0,2022.0,82.0]"
tt12927342,movie,Heavy,Heavy,0,2021,\N,92.27826086956522,Drama,5.7,85,0,"[85.0,0.0,2021.0,92.27826086956522]"
tt12933568,movie,Legacy of Love,Legacy of Love,0,2021,\N,86.0,Drama,5.9,68,0,"[68.0,0.0,2021.0,86.0]"
tt12980536,movie,I'm Too Old for This Sh*t: A Heavy Metal Fairy Tale,I'm Too Old for This Sh*t: A Heavy Metal Fairy Tale,0,2021,\N,89.0,Documentary,7.4,52,0,"[52.0,0.0,2021.0,89.0]"
tt12987126,movie,Bizum Hoca 2,Bizum Hoca 2,0,2021,\N,94.0,Comedy,4.2,67,0,"[67.0,0.0,2021.0,94.0]"
tt12991664,movie,Soula,Soula,0,2021,\N,92.0,Drama,7.8,70,1,"[70.0,0.0,2021.0,92.0]"
tt13006472,movie,Tequila Re-Pasado,Tequila RePasado,0,2023,\N,95.0,Comedy,4.7,90,0,"[90.0,0.0,2023.0,95.0]"
tt13009266,movie,Jivan Aakhyan,Jivan Aakhyan,0,2021,\N,148.0,Drama,8.8,77,1,"[77.0,0.0,2021.0,148.0]"
tt13013204,movie,Shoebox,Shoebox,0,2021,\N,98.0,Drama,8.6,63,1,"[63.0,0.0,2021.0,98.0]"
tt13027206,movie,Don't Waste Your Pretty,Don't Waste Your Pretty,0,2021,\N,89.0,Drama,8.0,89,1,"[89.0,0.0,2021.0,89.0]"
tt13045980,movie,An Angelic Christmas,An Angelic Christmas,0,2022,\N,92.27826086956522,Drama,7.7,74,1,"[74.0,0.0,2022.0,92.27826086956522]"
tt13055958,movie,Two,Shtaim,0,2021,\N,80.0,Drama,6.2,59,0,"[59.0,0.0,2021.0,80.0]"
tt13073848,movie,The Face of Anonymous,The Face of Anonymous,0,2021,\N,87.0,Documentary,6.1,75,0,"[75.0,0.0,2021.0,87.0]"
tt13074604,movie,The Families Feud,The Families Feud,0,2023,\N,90.0,Comedy,5.8,65,0,"[65.0,0.0,2023.0,90.0]"
tt13098066,movie,When Men Were Men,When Men Were Men,0,2021,\N,96.0,Drama,7.2,53,0,"[53.0,0.0,2021.0,96.0]"
tt13099434,movie,NGFL: Nice Guys Finish Last,NGFL: Nice Guys Finish Last,0,2022,\N,92.27826086956522,Comedy,8.3,63,1,"[63.0,0.0,2022.0,92.27826086956522]"
tt13154148,movie,BERG,Berg,0,2021,\N,79.0,Documentary,7.3,52,0,"[52.0,0.0,2021.0,79.0]"
tt13161934,movie,PR,PR,0,2022,\N,135.0,Drama,7.4,62,0,"[62.0,0.0,2022.0,135.0]"
tt13174204,movie,The Last Show,The Last Show,0,2021,\N,92.27826086956522,Drama,5.0,76,0,"[76.0,0.0,2021.0,92.27826086956522]"
tt13188058,movie,Ringside,Ringside,0,2023,\N,120.0,Drama,6.4,69,0,"[69.0,0.0,2023.0,120.0]"
tt13191918,movie,The Farm,The Farm,0,2023,\N,89.0,Drama,5.7,50,0,"[50.0,0.0,2023.0,89.0]"
tt13205094,movie,Disco Ruin,Disco Ruin,0,2021,\N,115.0,Documentary,7.1,53,0,"[53.0,0.0,2021.0,115.0]"
tt13231034,movie,Code Name: Nagasaki,Kodenavn: Nagasaki,0,2021,\N,70.0,Documentary,6.7,81,0,"[81.0,0.0,2021.0,70.0]"
tt13236726,movie,An Intervention,An Intervention,0,2021,\N,100.0,Comedy,7.9,66,1,"[66.0,0.0,2021.0,100.0]"
tt13244426,movie,Svedsko srce moje majke,Svedsko srce moje majke,0,2021,\N,88.0,Drama,6.9,51,0,"[51.0,0.0,2021.0,88.0]"
tt13266270,movie,All We Got,All We Got,0,2021,\N,101.0,Drama,5.4,59,0,"[59.0,0.0,2021.0,101.0]"
tt13267142,movie,Natura Umana,Natura Umana,0,2021,\N,139.0,Documentary,9.2,82,1,"[82.0,0.0,2021.0,139.0]"
tt13268264,movie,The Children in the Pictures,The Children in the Pictures,0,2021,\N,84.0,Documentary,8.1,57,1,"[57.0,0.0,2021.0,84.0]"
tt13270388,movie,Vasanthi,Vasanthi,0,2021,\N,121.0,Drama,6.2,56,0,"[56.0,0.0,2021.0,121.0]"
tt13273264,movie,The Diabetes Solution,The Diabetes Solution,0,2021,\N,92.27826086956522,Documentary,7.0,62,0,"[62.0,0.0,2021.0,92.27826086956522]"
tt13274182,movie,As Real As You Make It,As Real as You Make It,0,2022,\N,90.0,Comedy,6.9,88,0,"[88.0,0.0,2022.0,90.0]"
tt13276440,movie,Hostile,Hostile,0,2022,\N,98.0,Documentary,7.9,79,1,"[79.0,0.0,2022.0,98.0]"
tt13310354,movie,Oklahoma Mon Amour,Oklahoma Mon Amour,0,2021,\N,70.0,Drama,7.3,53,0,"[53.0,0.0,2021.0,70.0]"
tt13317068,movie,Bizarre Again,Bizarre Again,0,2022,\N,110.0,Drama,5.5,63,0,"[63.0,0.0,2022.0,110.0]"
tt13318084,movie,Düs Pesine,Düs Pesine,0,2022,\N,92.27826086956522,Comedy,4.4,85,0,"[85.0,0.0,2022.0,92.27826086956522]"
tt13323300,movie,Army Baby,Army Baby,0,2022,\N,95.0,Comedy,5.3,73,0,"[73.0,0.0,2022.0,95.0]"
tt13327864,movie,Crop Circle Realities,Crop Circle Realities,0,2021,\N,67.0,Documentary,7.4,75,0,"[75.0,0.0,2021.0,67.0]"
tt13338980,movie,All for Her,All for Her,0,2021,\N,82.0,Drama,6.0,86,0,"[86.0,0.0,2021.0,82.0]"
tt13350138,movie,Three Birthdays,Three Birthdays,0,2023,\N,90.0,Drama,5.8,84,0,"[84.0,0.0,2023.0,90.0]"
tt13357602,movie,An American Zealot,An American Zealot,0,2021,\N,90.0,Drama,4.9,64,0,"[64.0,0.0,2021.0,90.0]"
tt13399534,movie,Run,Run,0,2022,\N,90.0,Drama,4.7,50,0,"[50.0,0.0,2022.0,90.0]"
tt13410132,movie,Pretenders,Pretenders,0,2021,\N,87.0,Comedy,5.5,66,0,"[66.0,0.0,2021.0,87.0]"
tt13454112,movie,Akyn,Akyn,0,2021,\N,105.0,Drama,6.1,89,0,"[89.0,0.0,2021.0,105.0]"
tt13458080,movie,Liam White: The Forgettable Life of Liam White,Liam White: The Forgettable Life of Liam White,0,2021,\N,87.0,Drama,7.9,53,1,"[53.0,0.0,2021.0,87.0]"
tt13460584,movie,Makeup,Makeup,0,2023,\N,90.0,Drama,8.6,58,1,"[58.0,0.0,2023.0,90.0]"
tt13465006,movie,El-Thulatha 12,El-Thulatha 12,0,2021,\N,118.0,Drama,6.3,78,0,"[78.0,0.0,2021.0,118.0]"
tt13492278,tvMovie,Sleepless in Portugal,Alte Freunde,0,2021,\N,88.0,Drama,6.0,66,0,"[66.0,0.0,2021.0,88.0]"
tt13498862,movie,Robin Bank,Robin Bank,0,2022,\N,80.0,Documentary,6.7,63,0,"[63.0,0.0,2022.0,80.0]"
tt13529482,movie,Overall Planning,Ri bu luo jiu dian,0,2021,\N,106.0,Comedy,3.5,56,0,"[56.0,0.0,2021.0,106.0]"
tt13534702,movie,Amy and Peter Are Getting Divorced,Amy and Peter Are Getting Divorced,0,2021,\N,86.0,Comedy,4.4,65,0,"[65.0,0.0,2021.0,86.0]"
tt13534934,movie,Give Up the Ghost,Give Up the Ghost,0,2021,\N,77.0,Drama,5.6,52,0,"[52.0,0.0,2021.0,77.0]"
tt13535964,movie,Malibú,Malibú,0,2021,\N,108.0,Drama,5.7,73,0,"[73.0,0.0,2021.0,108.0]"
tt13550508,movie,The Game Is Up: Disillusioned Trump Voters Tell Their Stories,The Game Is Up: Disillusioned Trump Voters Tell Their Stories,0,2022,\N,113.0,Documentary,8.6,84,1,"[84.0,0.0,2022.0,113.0]"
tt13583466,movie,The Eternal Moment,"Sergio Larrain, el instante eterno",0,2022,\N,90.0,Documentary,7.6,64,1,"[64.0,0.0,2022.0,90.0]"
tt13591918,movie,For Hannah,For Hannah,0,2021,\N,92.27826086956522,Drama,5.8,79,0,"[79.0,0.0,2021.0,92.27826086956522]"
tt13593766,movie,The Godfather Buck,The Godfather Buck,0,2022,\N,125.0,Drama,4.5,81,0,"[81.0,0.0,2022.0,125.0]"
